горяее;8.0;0.0;2
винакстати;9.5;0.5;2
кофелатт;8.333333333333334;1.247219128924647;3
рислинг;8.2;1.7204650534085253;5
кьянти;7.5625;1.8360538526960477;32
полусухой;6.785714285714286;1.9704448891619601;14
писчи;5.0;2.0;2
поэль;3.0;2.0;2
настойка;8.038461538461538;2.102759528128715;52
телятина;7.594036697247707;2.199428874685449;436
аперитив;7.5625;2.225854236766939;48
medium;6.633802816901408;2.2469976000521115;71
корочка;7.196;2.342132361759258;250
филе;7.248337028824833;2.344113849639157;451
бульон;6.670588235294118;2.355410469007186;425
лосось;7.278468899521531;2.3644021772387465;1045
гриль;7.2062588904694165;2.432325120539695;703
гарнир;6.914330218068536;2.4717368626879272;642
бекон;6.756;2.4739571540348066;250
овощ;7.018048128342246;2.480204070833241;1496
закуска;7.392156862745098;2.523207281606517;1326
стейк;7.357622243528284;2.5264861404327177;1043
ориент;7.252380952380952;2.577950283539055;210
баклажан;7.143780290791599;2.5862203364419836;619
котлета;6.892388451443569;2.621628156377793;381
заморозок;5.777777777777778;2.6340599091399333;81
мясо;6.831081081081081;2.6655675160488896;2220
вареный;5.627218934911243;2.670809545179835;169
продукт;6.959447004608295;2.685378684724226;1085
сервис;7.06384479717813;2.688498206676988;2835
курица;6.648063781321184;2.69485541014377;878
блюдо;7.180989583333333;2.7151778371575395;5376
безалкоголь;7.099290780141844;2.750383505274347;141
бокал;6.957805907172996;2.753423690861925;1185
картошка;6.3906581740976645;2.757009555650671;471
дожаривать;5.882352941176471;2.815552457358663;34
замораживать;5.495575221238938;2.869195236697682;113
свинина;6.746113989637306;2.873762782968512;579
прожаривать;6.056338028169014;2.874792455184347;142
приготавливать;7.1241642788920725;2.9004262512786023;1047
пино;6.977777777777778;2.905847658994523;90
игристый;7.181818181818182;2.9331392372548506;44
бокальчик;7.222222222222222;2.9409233214015145;63
графин;6.607843137254902;2.970960308025785;102
коньяк;6.626373626373627;2.99320972065639;91
текила;6.407894736842105;3.013904756898683;76
водка;6.166666666666667;3.0576372085558643;390
коктейль;6.507510729613734;3.1975291266819283;932
Страсть;nan;nan;0
бейгла;10.0;0.0;1
чебуреков;2.0;0.0;1
шардон;7.75;1.75;16
каберне;6.9375;1.9833289565778038;16
сомелье;8.09433962264151;2.002490439459864;106
карпаччо;7.644518272425249;2.0222708980782698;301
плов;7.384615384615385;2.2545155215004375;182
дорадо;7.532608695652174;2.2719991529991233;92
баранина;7.201271186440678;2.3251932839688507;472
морс;7.209157127991675;2.372000963651722;961
говядина;7.200676437429538;2.3965118380697605;887
соус;7.071829405162738;2.4037170954845877;2673
начинка;7.015730337078652;2.4185100286628094;445
мидия;7.015873015873016;2.4187893042100104;315
картофель;6.867027027027027;2.443445578801958;925
прожарка;7.092391304347826;2.496115838991355;368
апельсингрейпфрут;7.5;2.5;2
седенок;6.5;2.5;2
утка;6.998275862068965;2.527435075690601;580
гриджио;7.238095238095238;2.5430533186321314;21
судак;6.915730337078652;2.5525223865861553;178
бутылочка;7.126506024096385;2.562876035875499;166
курицагриль;5.75;2.5860201081971503;4
лимонад;7.070945945945946;2.5899429550844695;296
эль;7.337662337662338;2.619162102610371;154
сангрия;6.815789473684211;2.6443113038120423;38
пережаривать;5.419642857142857;2.6747442897043676;112
рыба;6.90273556231003;2.700268779818816;1316
шашлык;7.20865704772475;2.7505972462190096;901
жарить;6.303501945525292;2.7576048708139953;257
глинтвейн;6.663793103448276;2.766623628544621;116
пицца;6.998882681564246;2.769143401158654;895
безалкогольный;7.111111111111111;2.7799991118215117;135
рис;6.788144156281576;2.787267318029611;2969
сок;7.103586800573888;2.8230250858926142;3485
напиток;6.899378881987578;2.8408837942134904;1610
бутылка;6.443251533742331;2.8470467711470557;652
суша;6.7959866220735785;2.8628371828671964;897
форель;7.099415204678363;2.8991932145756225;171
пища;6.554347826086956;2.9056322010386424;276
макароны;6.054794520547945;2.9067253662908143;146
пиво;6.636818181818182;2.957180608072549;2200
алкогольный;6.63768115942029;2.985331358263357;276
полусладкий;6.7272727272727275;2.987577586391815;33
мохито;6.564814814814815;3.0391676131008736;216
ВостокЗапад;nan;nan;0
спиртной;7.3125;2.994134891750871;32
шампанское;6.726457399103139;3.018859925976935;223
мартини;6.683333333333334;3.068613512465995;60
алкоголь;6.757415254237288;3.095829632860877;944
шампанский;6.245283018867925;3.341594130799648;53
висок;5.776;3.456851746893407;125
