музыкачто;9.0;0.0;2
полукабинка;8.25;0.82915619758885;4
музыкаочень;8.5;1.118033988749895;4
камерный;8.216666666666667;1.4729976993268599;60
лаунжа;8.714285714285714;1.4846149779161806;28
интерьерчик;7.02;1.6551737068960464;50
душевный;8.452380952380953;1.7697700889664887;294
музычка;7.709677419354839;1.8698550640244436;31
царить;8.416666666666666;1.8999268991785507;60
антураж;7.694444444444445;1.9218930353966561;108
атмосфера;8.47027027027027;1.9354384619450171;2035
полумрак;7.940476190476191;1.9600242374363306;84
обстановочка;7.866666666666666;1.9618585292749549;15
местечко;7.958083832335329;2.0080276817357;501
обстановка;8.258211678832117;2.048661236100679;1096
музыкальный;7.743362831858407;2.0657857336281507;339
комфорт;8.09188361408882;2.097357406497301;653
лаундж;8.041666666666666;2.1885909977781495;24
освещение;7.707182320441989;2.2018082259808245;181
публика;7.522123893805309;2.2095822899712854;452
музыка;7.9209659714599345;2.216338942001136;2733
интерьер;7.75821208939553;2.250551584410838;6667
создавать;7.82076813655761;2.2746724664435507;703
дизайн;7.773512476007678;2.29464639060265;521
